Year Make Model, Lap Time
2018 Dodge Challenger SRT Hellcat Widebody, 2:59.8
2016 Cadillac ATS-V, 2:59.8
2014 Mercedes-Benz E63 AMG S-model, 3:00.1
2025 Hyundai Ioniq 5 N, 3:00.3
2021 BMW X5M Competition, 3:00.5
2013 Ford Shelby GT500, 3:00.6
2022 BMW M240i xDrive, 3:00.6
2025 Bentley Continental GT Speed, 3:00.7
2006 Ford GT, 3:00.7
2012 Porsche Panamera Turbo S, 3:00.7
2015 BMW M4, 3:00.7
2021 Honda Civic Type R Limited Edition, 3:00.7
2015 Jaguar F-type R coupe, 3:01.0
2006 Chevrolet Corvette Z06, 3:01.1
2008 Chevrolet Corvette Z51, 3:01.2
2020 Toyota Supra Premium, 3:01.4
2013 Chevrolet Camaro SS 1LE, 3:01.5
2006 Dodge Viper SRT10 Coupe, 3:01.6
2018 Mercedes-AMG GLC63S Coupe, 3:01.7
2007 Porsche 911 GT3, 3:01.8
2016 BMW M2, 3:01.9
2013 Jaguar XKR-S, 3:02.1
2016 Jaguar F-type Project 7, 3:02.2
2020 Audi RS Q8, 3:02.2
2020 Lexus RC F Track Edition, 3:02.6
2014 Porsche Cayman S, 3:02.6
2012 Ford Mustang Boss 302 Laguna Seca, 3:02.8
2022 BMW X4M Competition, 3:02.9
2014 Audi RS7, 3:03.0
2022 BMW M240i xDrive, 3:03.0
2020 BMW M340i, 3:03.2
2019 Subaru STI S209, 3:03.4
2016 Dodge Charger SRT Hellcat, 3:03.5
2017 Audi S8 Plus, 3:03.6
2007 Chevrolet Corvette Z51, 3:03.6
2021 Mini John Cooper Works GP, 3:03.8
2011 Porsche Boxster Spyder, 3:03.8
2018 Audi RS5, 3:03.9
2012 Porsche Cayman R, 3:03.9
2016 Ford Focus RS, 3:03.9
2018 Honda Civic Type R, 3:03.9
2009 Cadillac CTS-V, 3:04.0
2011 Ford Shelby GT500, 3:04.0
2017 Chevrolet Camaro 1LE, 3:04.0
2020 Cadillac CT5-V, 3:04.1
2011 Cadillac CTS-V coupe, 3:04.2
2013 Porsche Boxster S, 3:04.2
2024 Acura Integra Type S, 3:04.2
2017 BMW Alpina B7 xDrive, 3:04.3
2013 Audi RS5, 3:04.3
2022 Volkswagen Golf R, 3:04.3
2020 Ford Mustang Ecoboost HiPo, 3:04.4
2007 Lotus Exige S, 3:04.5
2007 Audi R8, 3:04.6
2013 BMW M6, 3:04.7
2022 BMW i4 M50, 3:04.7
2019 Alfa Romeo Stelvio Quadrifoglio Q4, 3:04.8
2018 Lexus LC500, 3:04.8
2012 Audi TT RS, 3:04.8
2022 Lexus IS500 F Sport, 3:04.9
2012 Mercedes-Benz CLS63 AMG, 3:04.9
2023 Kia EV6 GT, 3:04.9
2018 Subaru WRX STI Type RA, 3:04.9
2009 Lotus Exige S 260 Sport, 3:05.0
2013 BMW M5, 3:05.2
2015 Ford Mustang GT, 3:05.2
2012 Lotus Evora S, 3:05.3
2011 Lexus IS F, 3:05.4
2009 BMW M3 coupe, 3:05.4
2017 Audi RS3, 3:05.6
2008 BMW M3 coupe, 3:05.6
2019 Chevrolet Camaro Turbo 1LE, 3:05.6
2007 Porsche 911 Turbo, 3:05.8
2009 Porsche 911 Carrera S, 3:05.8
2015 Lexus RC F, 3:05.8
2009 Porsche Cayman S, 3:05.8
2016 Lexus GS F, 3:05.9
2007 Ford Shelby GT500, 3:05.9
2014 Mercedes-Benz CLA45 AMG, 3:05.9
2022 Hyundai Kona N, 3:06.1
2020 Cadillac CT4-V, 3:06.2
2012 Mercedes-Benz C63 AMG coupe, 3:06.3
2010 Jaguar XKR, 3:06.4
2024 Hyundai Elantra N, 3:06.4
2016 Mazda MX-5 Miata Cup Car, 3:06.4
2008 Mercedes-Benz C63 AMG, 3:06.5
2011 BMW 1-series M, 3:06.6
2014 Jaguar XFR-S, 3:06.7
2021 Acura TLX Type-S SH-AWD, 3:06.7
2014 Cadillac CTS Vsport, 3:06.8
2018 Jeep Grand Cherokee Trackhawk, 3:06.9
2011 Mercedes-Benz E63 AMG, 3:06.9
1999 Acura NSX Zanardi Edition, 3:07.1
2014 BMW M235i, 3:07.2
2019 Genesis G70 3.3T Dynamic, 3:07.3
2022 Hyundai Elantra N, 3:07.3
2010 Ford Shelby GT500, 3:07.4
2017 BMW M760i xDrive, 3:07.6
2016 Audi TTS, 3:07.7
2019 Hyundai Veloster N Performance Package, 3:07.7
2017 BMW M240i, 3:08.0
2011 Lotus Evora, 3:08.3
2009 Audi TTS, 3:08.4
2011 Ford Mustang GT, 3:08.6
2015 Alfa Romeo 4C, 3:08.8
2011 Jaguar XFR, 3:08.9
2021 Toyota Supra 2.0, 3:09.0
2006 Lotus Elise, 3:09.2
2006 Chevrolet Corvette Z51, 3:09.3
2023 Subaru BRZ (brake/tire upgrade), 3:09.3
2012 Dodge Challenger SRT8 392, 3:09.4
2010 Chevrolet Camaro SS, 3:09.5
2006 Porsche Cayman S, 3:09.5
2013 Audi S6, 3:09.8
2006 BMW M6, 3:10.0
2012 Dodge Charger SRT8, 3:10.1
2012 BMW Z4 sDrive35is, 3:10.4
2025 Subaru WRX tS, 3:10.4
2007 BMW 335i coupe, 3:10.5
2015 Subaru WRX STI, 3:10.5
2010 Mitsubishi Lancer Evolution SE, 3:10.6
2010 Audi S4, 3:10.8
2007 Ford Shelby GT500, 3:11.0
2012 BMW X5 M, 3:11.1
2024 Subaru BRZ tS, 3:11.1
2007 Audi RS4, 3:11.2
2015 Audi S3, 3:11.3
2022 Volkswagen Golf GTI, 3:11.4
2018 Subaru WRX Performance Package, 3:11.5
2018 Kia Stinger GT, 3:11.6
2022 Subaru WRX, 3:11.6
2007 BMW Z4 M coupe, 3:11.7
2022 Toyota GR86 Premium, 3:11.8
2009 Nissan 370Z NISMO, 3:12.0
2022 Volkswagen GTI Autobahn, 3:12.1
2019 Volkswagen Jetta GLI 35th Anniversary Edition, 3:12.2
2015 Volkswagen Golf R, 3:12.3
2022 Subaru BRZ Limited, 3:12.4
2006 Nissan 350Z Track, 3:12.5
2011 Ford Mustang V-6, 3:12.5
2008 Chevrolet Cobalt SS, 3:13.0
2012 BMW 335i Sport Line, 3:13.2
2010 Ford Mustang GT, 3:13.3
2008 Mitsubishi Lancer Evolution MR, 3:13.3
2014 Lexus IS350 F sport, 3:13.4
2006 Mitsubishi Lancer Evolution MR, 3:13.5
2008 BMW 135i, 3:13.7
2012 BMW 335is, 3:13.8
2011 Hyundai Genesis Coupe 3.8 R-spec, 3:13.8
2011 Subaru Impreza WRX STI Sedan, 3:13.8
2013 Hyundai Genesis Coupe 3.8 R-spec, 3:13.9
2008 Lexus IS F, 3:14.0
2012 Volkswagen Golf R, 3:14.0
2018 Subaru BRZ tS, 3:14.0
2008 Audi S5, 3:14.6
2015 Volkswagen GTI, 3:14.6
2017 Honda Civic Si, 3:14.6
2010 Hyundai Genesis Coupe 3.8, 3:14.8
2008 Honda S2000 CR, 3:15.0
2015 Mini Cooper Hardtop John Cooper Works, 3:15.4
2015 Subaru WRX, 3:15.5
2015 Ford Mustang Ecoboost, 3:15.6
2024 Mazda MX-5 Miata, 3:15.6
2007 Pontiac Solstice GXP, 3:15.7
2007 Mazdaspeed 3, 3:16.0
2017 Mini Clubman JCW All4, 3:16.0
2010 Mazdaspeed 3, 3:16.2
2008 Dodge Challenger SRT8, 3:16.3
2011 Subaru Impreza WRX Sedan, 3:16.5
2008 Lotus Elise SC, 3:16.6
2009 Subaru Impreza WRX, 3:16.6
2010 Mazda RX-8 R3, 3:16.7
2023 Honda Civic Si, 3:16.9
2017 Fiat 124 Spider Abarth, 3:16.9
2009 Mini Cooper John Cooper Works, 3:17.1
2019 Mazda MX-5 Miata RF Club, 3:17.2
2015 Tesla Model S P85D, 3:17.4
2012 Jeep Grand Cherokee SRT8, 3:17.4
2008 Infiniti G37S, 3:17.5
2014 Ford Focus ST, 3:17.6
2013 Dodge Charger Pursuit, 3:17.8
2006 Dodge Charger SRT8, 3:18.2
2012 Mini Cooper Coupe John Cooper Works, 3:18.4
2018 Honda Accord Sport 2.0T, 3:18.4
2013 Subaru BRZ, 3:18.6
2008 Subaru Impreza WRX STI, 3:19.0
2006 Mazda RX-8, 3:19.0
2015 Volkswagen GTI, 3:19.3
2010 Volkswagen GTI, 3:19.3
2017 Subaru BRZ Performance Package, 3:19.7
2014 Ford Fiesta ST, 3:20.4
2006 Chevrolet Cobalt SS Supercharged, 3:20.6
2008 Dodge Caliber SRT4, 3:20.8
2016 Mazda MX-5 Miata Club, 3:20.8
2006 Ford Mustang GT, 3:20.9
2013 Ford Focus ST, 3:21.4
2008 Volkswagen R32, 3:21.8
2007 Mini Cooper S, 3:22.9
2013 Chevrolet Caprice Police Patrol Vehicle, 3:23.0
2012 Honda Civic Si, 3:24.1
2008 Honda Civic Si Mugen, 3:24.8
2007 Volkswagen GTI, 3:25.1
2019 Toyota Camry V6 XSE, 3:25.3
2006 Honda Civic Si, 3:26.5
2008 Volvo C30 Version 2.0, 3:26.6
2012 Volkswagen Jetta GLI, 3:27.3
2013 Fiat 500 Abarth, 3:27.3
2006 Mazda MX-5, 3:29.3
2015 Honda Fit EX, 3:37.7
2022 Kia Carnival, 3:39.1
